# Hostnames used by Vawtrak Trojan,,
Hostname,Description,Date added
foundingcast.com,Vawtrak,5/12/2016
dringeraout.com,Vawtrak,5/12/2016
broilerona.com,Vawtrak,5/12/2016
bookeranto.com,Vawtrak,5/12/2016
vineriadana.com,Vawtrak,5/12/2016
greyscrolling.com,Vawtrak,5/12/2016
solidarepapero.com,Vawtrak,5/12/2016
svenorta.com,Vawtrak,5/12/2016
silvmafo.net,Vawtrak,5/12/2016
goodtrade.bid,Vawtrak,5/16/2016
todaywith.date,Vawtrak,5/16/2016
quicklinks.download,Vawtrak,5/16/2016
beproudof.faith,Vawtrak,5/16/2016
takeaphoto.loan,Vawtrak,5/16/2016
oldblackman.party,Vawtrak,5/16/2016
fastblackspeed.racing,Vawtrak,5/16/2016
cangetyour.review,Vawtrak,5/16/2016
epicsimple.science,Vawtrak,5/16/2016
fastandeasy.trade,Vawtrak,5/16/2016
seeyounow.webcam,Vawtrak,5/16/2016
championinred.win,Vawtrak,5/16/2016
chalengeforyou.win,Vawtrak,5/16/2016
cookingwithme.date,Vawtrak,5/16/2016