# URL used by Vawtrak Trojan,,
Url,Description,Date added
foundingcast.com/rss/feed/stream,Vawtrak,5/12/2016
dringeraout.com/rss/feed/stream,Vawtrak,5/12/2016
broilerona.com/rss/feed/stream,Vawtrak,5/12/2016
bookeranto.com/rss/feed/stream,Vawtrak,5/12/2016
vineriadana.com/rss/feed/stream,Vawtrak,5/12/2016
greyscrolling.com/rss/feed/stream,Vawtrak,5/12/2016
solidarepapero.com/rss/feed/stream,Vawtrak,5/12/2016
svenorta.com/rss/feed/stream,Vawtrak Webinjects,5/12/2016
silvmafo.net/rss/feed/stream,Vawtrak,5/12/2016
goodtrade.bid/rss/feed/stream,Vawtrak,5/16/2016
todaywith.date/rss/feed/stream,Vawtrak,5/16/2016
quicklinks.download/rss/feed/stream,Vawtrak,5/16/2016
beproudof.faith/rss/feed/stream,Vawtrak,5/16/2016
takeaphoto.loan/rss/feed/stream,Vawtrak,5/16/2016
oldblackman.party/rss/feed/stream,Vawtrak,5/16/2016
fastblackspeed.racing/rss/feed/stream,Vawtrak,5/16/2016
cangetyour.review/rss/feed/stream,Vawtrak,5/16/2016
epicsimple.science/rss/feed/stream,Vawtrak,5/16/2016
fastandeasy.trade/rss/feed/stream,Vawtrak,5/16/2016
seeyounow.webcam/rss/feed/stream,Vawtrak,5/16/2016
championinred.win/rss/feed/stream,Vawtrak,5/16/2016
chalengeforyou.win/rss/feed/stream,Vawtrak,5/16/2016
cookingwithme.date/rss/feed/stream,Vawtrak,5/16/2016